2022-08-04T12:09:02.258Z - [ERROR  ] - select `o_r`.`experience_rating`, `o_r`.`review_description`, `u_c_p`.`first_name`, `u_c_p`.`last_name`, `u_c_p`.`city`, `u_c_p`.`age`, `u_c_p`.`profile_pic_image_id` from `order_review` as `o_r` inner join `user_customer_profile ad u_c_p` on `u_c_p`.`user_customer_id` = `o_r`.`user_customer_id` where `id` = '1' - ER_NO_SUCH_TABLE: Table 'db-stag-v3.user_customer_profile ad u_c_p' doesn't exist
2022-08-04T12:10:03.190Z - [ERROR  ] - select `o_r`.`experience_rating`, `o_r`.`review_description`, `u_c_p`.`first_name`, `u_c_p`.`last_name`, `u_c_p`.`city`, `u_c_p`.`age`, `u_c_p`.`profile_pic_image_id` from `order_review` as `o_r` inner join `user_customer_profile ad u_c_p` on `u_c_p`.`user_customer_id` = `o_r`.`user_customer_id` where `id` = '1' - ER_NO_SUCH_TABLE: Table 'db-stag-v3.user_customer_profile ad u_c_p' doesn't exist
2022-08-04T12:10:49.925Z - [ERROR  ] - select `o_r`.`experience_rating`, `o_r`.`review_description`, `u_c_p`.`first_name`, `u_c_p`.`last_name`, `u_c_p`.`city`, `u_c_p`.`age`, `u_c_p`.`profile_pic_image_id` from `order_review` as `o_r` inner join `user_customer_profile` as `u_c_p` on `u_c_p`.`user_customer_id` = `o_r`.`user_customer_id` where `id` = '1' - ER_NON_UNIQ_ERROR: Column 'id' in where clause is ambiguous
2022-08-04T12:21:47.197Z - [ERROR  ] - select `o_r`.`experience_rating`, `o_r`.`review_description`, `u_c_p`.`first_name`, `u_c_p`.`last_name`, `u_c_p`.`city`, `u_c_p`.`age`, `u_c_p`.`profile_pic_image_id` from `order_review` as `o_r` inner join `user_customer_profile` as `u_c_p` on `u_c_p`.`user_customer_id` = `o_r`.`user_customer_id` where `id` = '1' - ER_NON_UNIQ_ERROR: Column 'id' in where clause is ambiguous
2022-08-04T12:27:41.815Z - [ERROR  ] - connect ETIMEDOUT
2022-08-04T12:30:53.133Z - [ERROR  ] - select `o_r`.`experience_rating`, `o_r`.`review_description`, `u_c_p`.`first_name`, `u_c_p`.`last_name`, `u_c_p`.`city`, `u_c_p`.`age`, `u_c_p`.`profile_pic_image_id` from `order_review` as `o_r` inner join `user_customer_profile` as `u_c_p` on `u_c_p`.`user_customer_id` = `o_r`.`user_customer_id` where `id` = '1' - ER_NON_UNIQ_ERROR: Column 'id' in where clause is ambiguous
2022-08-04T12:41:44.764Z - [ERROR  ] - The table dont have any data
2022-08-04T12:43:47.677Z - [ERROR  ] - The table dont have any data
2022-08-04T12:45:56.370Z - [ERROR  ] - The table dont have any data
2022-08-04T12:46:42.594Z - [ERROR  ] - The table dont have any data
2022-08-04T12:46:56.095Z - [ERROR  ] - The table dont have any data
2022-08-04T13:01:22.028Z - [ERROR  ] - {}
2022-08-04T14:06:55.999Z - [ERROR  ] - The table dont have any data
2022-08-04T14:08:49.627Z - [ERROR  ] - The table dont have any data
2022-08-04T14:11:23.176Z - [ERROR  ] - select `o_r`.`experience_rating`, `o_r`.`review_description`, `u_c_p`.`first_name`, `u_c_p`.`last_name`, `u_c_p`.`city`, `u_c_p`.`age`, `u_c_p`.`profile_pic_image_id` from `order_review` as `o_r` inner join `user_customer_profile` as `u_c_p` on `u_c_p`.`user_customer_id` = `o_r`.`user_customer_id` where `id` = '1' - ER_NON_UNIQ_ERROR: Column 'id' in where clause is ambiguous
2022-08-04T15:09:05.339Z - [ERROR  ] - select `o_r`.`experience_rating`, `o_r`.`review_description`, `u_c_p`.`first_name`, `u_c_p`.`last_name`, `u_c_p`.`city`, `u_c_p`.`age`, `u_c_p`.`profile_pic_image_id` from `order_review` as `o_r` inner join `user_customer_profile` as `u_c_p` on `u_c_p`.`user_customer_id` = `o_r`.`user_customer_id` where `id` = '1' - ER_NON_UNIQ_ERROR: Column 'id' in where clause is ambiguous
2022-08-04T17:42:52.617Z - [ERROR  ] - {}
2022-08-04T18:01:06.715Z - [ERROR  ] - Cannot set headers after they are sent to the client
2022-08-04T18:03:43.606Z - [ERROR  ] - Cannot set headers after they are sent to the client
2022-08-04T18:10:20.686Z - [ERROR  ] - Cannot set headers after they are sent to the client
2022-08-04T18:12:44.706Z - [ERROR  ] - user alreary exist in the database with same mobile number
2022-08-04T18:16:12.334Z - [ERROR  ] - {}
2022-08-04T18:17:09.353Z - [ERROR  ] - insert into `user_customer_profile` (`city`, `first_name`, `last_name`, `profile_pic_image_id`, `user_customer_id`) values ('Suryapet', 'Anusha', 'Nanabala', 'Anusha.png', 1) - ER_NO_REFERENCED_ROW_2: Cannot add or update a child row: a foreign key constraint fails (`db-stag-v3`.`user_customer_profile`, CONSTRAINT `user_customer_profile_ibfk_1` FOREIGN KEY (`user_customer_id`) REFERENCES `user_customer` (`id`) ON DELETE NO ACTION ON UPDATE NO ACTION)
2022-08-04T18:24:13.722Z - [ERROR  ] - insert into `user_customer_profile` (`city`, `first_name`, `last_name`, `profile_pic_image_id`, `user_customer_id`) values ('Suryapeta', 'Anusha', 'Nanabala', 'anusha1.png', 1) - ER_NO_REFERENCED_ROW_2: Cannot add or update a child row: a foreign key constraint fails (`db-stag-v3`.`user_customer_profile`, CONSTRAINT `user_customer_profile_ibfk_1` FOREIGN KEY (`user_customer_id`) REFERENCES `user_customer` (`id`) ON DELETE NO ACTION ON UPDATE NO ACTION)
2022-08-04T18:29:29.548Z - [ERROR  ] - insert into `user_customer_profile` (`city`, `first_name`, `last_name`, `profile_pic_image_id`, `user_customer_id`) values ('Suryapeta', 'Anusha', 'Nanabala', 'anusha1.png', 1) - ER_NO_REFERENCED_ROW_2: Cannot add or update a child row: a foreign key constraint fails (`db-stag-v3`.`user_customer_profile`, CONSTRAINT `user_customer_profile_ibfk_1` FOREIGN KEY (`user_customer_id`) REFERENCES `user_customer` (`id`) ON DELETE NO ACTION ON UPDATE NO ACTION)
2022-08-05T10:34:49.981Z - [ERROR  ] - select * from `order_detail` as `order_detail` inner join `order_list` as `o_l` on `o_l`.`id` = `order_detail`.`id` where `id` = ':order_id' - ER_NON_UNIQ_ERROR: Column 'id' in where clause is ambiguous
2022-08-05T15:30:30.205Z - [ERROR  ] - Cannot set headers after they are sent to the client
2022-08-08T03:28:30.056Z - [ERROR  ] - Cannot set headers after they are sent to the client
2022-08-08T03:39:51.526Z - [ERROR  ] - select `menu_category`.`name`, `menu_category`.`category_image_id`, `menu_category`, `cafe_list` from `cafe_list` as `cafe_list` inner join `cafe_details` as `cafe_details` on `cafe_list`.`id` = `cafe_details`.`cafe_list_id` inner join `cafe_contact_data` as `cafe_contact_data` on `cafe_list`.`id` = `cafe_contact_data`.`cafe_list_id` - ER_BAD_FIELD_ERROR: Unknown column 'menu_category.name' in 'field list'
2022-08-08T03:40:40.993Z - [ERROR  ] - select `menu_category`.`name`, `menu_category`.`category_image_id`, `menu_category`, `cafe_list` from `cafe_list` as `cafe_list` inner join `cafe_details` as `cafe_details` on `cafe_list`.`id` = `cafe_details`.`cafe_list_id` inner join `cafe_contact_data` as `cafe_contact_data` on `cafe_list`.`id` = `cafe_contact_data`.`cafe_list_id` - ER_BAD_FIELD_ERROR: Unknown column 'menu_category.name' in 'field list'
2022-08-08T04:44:53.479Z - [ERROR  ] - select `menu_category`.`name`, `menu_category`.`category_image_id`, `menu_category`, `cafe_list` from `cafe_list` as `cafe_list` inner join `cafe_details` as `cafe_details` on `cafe_list`.`id` = `cafe_details`.`cafe_list_id` inner join `cafe_contact_data` as `cafe_contact_data` on `cafe_list`.`id` = `cafe_contact_data`.`cafe_list_id` - ER_BAD_FIELD_ERROR: Unknown column 'menu_category.name' in 'field list'
2022-08-08T04:48:19.194Z - [ERROR  ] - select `menu_category`.`name`, `menu_category`.`category_image_id`, `menu_category`, `cafe_list` from `cafe_list` as `cafe_list` inner join `cafe_details` as `cafe_details` on `cafe_list`.`id` = `cafe_details`.`cafe_list_id` inner join `cafe_contact_data` as `cafe_contact_data` on `cafe_list`.`id` = `cafe_contact_data`.`cafe_list_id` - ER_BAD_FIELD_ERROR: Unknown column 'menu_category.name' in 'field list'
2022-08-08T05:01:45.364Z - [ERROR  ] - select `menu_category`.`name`, `menu_category`.`category_image_id`, `menu_category`, `cafe_list` from `cafe_list` as `cafe_list` inner join `cafe_details` as `cafe_details` on `cafe_list`.`id` = `cafe_details`.`cafe_list_id` inner join `cafe_contact_data` as `cafe_contact_data` on `cafe_list`.`id` = `cafe_contact_data`.`cafe_list_id` - ER_BAD_FIELD_ERROR: Unknown column 'menu_category.name' in 'field list'
2022-08-08T08:45:40.719Z - [ERROR  ] - The table dont have any data
2022-08-08T08:46:02.378Z - [ERROR  ] - The table dont have any data
2022-08-08T09:26:32.588Z - [ERROR  ] - select `cafe_list`.`name`, `cafe_list`.`city`, `cafe_details`.`rating`, `cafe_details`.`price_range`, `cafe_details`.`opening_time`, `cafe_details`.`closing_time`, `cafe_details`.`waiting_time` from `cafe_list` as `cafe_list` inner join `cafe_details` as `cafe_details` on `cafe_list`.`id` = `cafe_details`.`cafe_list_id` inner join `cafe_contact_data` as `cafe_contact_data` on `cafe_list`.`id` = `cafe_contact_data`.`cafe_list_id` where `id` = '1' - ER_NON_UNIQ_ERROR: Column 'id' in where clause is ambiguous
2022-08-08T09:32:14.957Z - [ERROR  ] - select `cafe_list`.`name`, `cafe_list`.`city`, `cafe_details`.`rating`, `cafe_details`.`price_range`, `cafe_details`.`opening_time`, `cafe_details`.`closing_time`, `cafe_details`.`waiting_time` from `cafe_list` as `cafe_list` where `cafe_list`.`id` = '1' - ER_BAD_FIELD_ERROR: Unknown column 'cafe_details.rating' in 'field list'
2022-08-08T10:41:18.555Z - [ERROR  ] - select * from `cafe_details` as `cafe_details` inner join `cafe_list` as `cafe_list` on `cafe_details`.`cafe_list_id` = `cafe_list`.`id` where `id` = '1' - ER_NON_UNIQ_ERROR: Column 'id' in where clause is ambiguous
2022-08-08T11:13:47.446Z - [ERROR  ] - {}
2022-08-08T11:16:45.068Z - [ERROR  ] - {}
2022-08-08T11:29:10.367Z - [ERROR  ] - insert into `user_customer_profile` (`city`, `first_name`, `last_name`, `profile_pic_image_id`, `user_customer_id`) values ('Bhainsa', 'Karuna', 'chinnola', 'sjjasxscxjkmvj', 2) - ER_NO_REFERENCED_ROW_2: Cannot add or update a child row: a foreign key constraint fails (`db-stag-v3`.`user_customer_profile`, CONSTRAINT `user_customer_profile_ibfk_1` FOREIGN KEY (`user_customer_id`) REFERENCES `user_customer` (`id`) ON DELETE NO ACTION ON UPDATE NO ACTION)
2022-08-08T11:29:33.004Z - [ERROR  ] - insert into `user_customer_profile` (`city`, `first_name`, `last_name`, `profile_pic_image_id`, `user_customer_id`) values ('Bhainsa', 'Karuna', 'chinnola', 'sjjasxscxjkmvj', 1) - ER_NO_REFERENCED_ROW_2: Cannot add or update a child row: a foreign key constraint fails (`db-stag-v3`.`user_customer_profile`, CONSTRAINT `user_customer_profile_ibfk_1` FOREIGN KEY (`user_customer_id`) REFERENCES `user_customer` (`id`) ON DELETE NO ACTION ON UPDATE NO ACTION)
2022-08-08T11:29:40.491Z - [ERROR  ] - insert into `user_customer_profile` (`city`, `first_name`, `last_name`, `profile_pic_image_id`, `user_customer_id`) values ('Bhainsa', 'Karuna', 'chinnola', 'sjjasxscxjkmvj', 1) - ER_NO_REFERENCED_ROW_2: Cannot add or update a child row: a foreign key constraint fails (`db-stag-v3`.`user_customer_profile`, CONSTRAINT `user_customer_profile_ibfk_1` FOREIGN KEY (`user_customer_id`) REFERENCES `user_customer` (`id`) ON DELETE NO ACTION ON UPDATE NO ACTION)
2022-08-08T11:29:51.811Z - [ERROR  ] - insert into `user_customer_profile` (`city`, `first_name`, `last_name`, `profile_pic_image_id`, `user_customer_id`) values ('Bhainsa', 'Karuna', 'chinnola', 'sjjasxscxjkmvj', 1) - ER_NO_REFERENCED_ROW_2: Cannot add or update a child row: a foreign key constraint fails (`db-stag-v3`.`user_customer_profile`, CONSTRAINT `user_customer_profile_ibfk_1` FOREIGN KEY (`user_customer_id`) REFERENCES `user_customer` (`id`) ON DELETE NO ACTION ON UPDATE NO ACTION)
2022-08-08T11:33:41.252Z - [ERROR  ] - user alreary exist in the database with same mobile number
2022-08-08T11:33:59.716Z - [ERROR  ] - insert into `user_customer_profile` (`city`, `first_name`, `last_name`, `profile_pic_image_id`, `user_customer_id`) values ('Bhainsa', 'Karuna', 'chinnola', 'sjjasxscxjkmvj', 1) - ER_NO_REFERENCED_ROW_2: Cannot add or update a child row: a foreign key constraint fails (`db-stag-v3`.`user_customer_profile`, CONSTRAINT `user_customer_profile_ibfk_1` FOREIGN KEY (`user_customer_id`) REFERENCES `user_customer` (`id`) ON DELETE NO ACTION ON UPDATE NO ACTION)
2022-08-08T19:00:43.031Z - [ERROR  ] - {}
2022-08-08T19:13:49.998Z - [ERROR  ] - {}
2022-08-09T03:10:40.497Z - [ERROR  ] - {}
2022-08-09T03:11:37.161Z - [ERROR  ] - insert into `user_customer` as `u_c` (`city`, `first_name`, `last_name`, `profile_pic_image_id`, `user_customer_id`) values ('vizak', 'revathi1', 'jakkas', '4', 3) - ER_PARSE_ERROR: You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'as `u_c` (`city`, `first_name`, `last_name`, `profile_pic_image_id`, `user_cu...' at line 1
2022-08-09T03:14:19.438Z - [ERROR  ] - insert into `user_customer` as `u_c` (`city`, `first_name`, `last_name`, `profile_pic_image_id`, `user_customer_id`) values ('vizak', 'revathi1', 'jakkas', '4', 3) - ER_PARSE_ERROR: You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'as `u_c` (`city`, `first_name`, `last_name`, `profile_pic_image_id`, `user_cu...' at line 1
2022-08-09T03:18:43.403Z - [ERROR  ] - insert into `user_customer` as `u_c` (`u_c_p`.`city`, `u_c_p`.`first_name`, `u_c_p`.`last_name`, `u_c_p`.`profile_pic_image_id`, `u_c_p`.`user_customer_id`) values ('vizak', 'revathi1', 'jakkas', '4', 3) - ER_PARSE_ERROR: You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'as `u_c` (`u_c_p`.`city`, `u_c_p`.`first_name`, `u_c_p`.`last_name`, `u_c_p`....' at line 1
2022-08-09T05:20:25.239Z - [ERROR  ] - insert into `user_customer` as `u_c` (`u_c`.`email`, `u_c_p`.`city`, `u_c_p`.`first_name`, `u_c_p`.`last_name`, `u_c_p`.`profile_pic_image_id`, `u_c_p`.`user_customer_id`) values ('revathi2@gmail.com', 'vizak', 'revathi1', 'jakkas', '4', 3) - ER_PARSE_ERROR: You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'as `u_c` (`u_c`.`email`, `u_c_p`.`city`, `u_c_p`.`first_name`, `u_c_p`.`last_...' at line 1
2022-08-09T05:21:15.881Z - [ERROR  ] - insert into `user_customer` as `u_c` (`u_c_p`.`city`, `u_c_p`.`first_name`, `u_c_p`.`last_name`, `u_c_p`.`profile_pic_image_id`, `u_c_p`.`user_customer_id`) values ('vizak', 'revathi1', 'jakkas', '4', 3) - ER_PARSE_ERROR: You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'as `u_c` (`u_c_p`.`city`, `u_c_p`.`first_name`, `u_c_p`.`last_name`, `u_c_p`....' at line 1
2022-08-09T06:04:32.212Z - [ERROR  ] - insert into `user_customer` (`email`, `mobile_number`) values ('revathi21@gmail.com', '6305018761') - ER_NO_DEFAULT_FOR_FIELD: Field 'user_role_id' doesn't have a default value
2022-08-09T06:04:32.352Z - [ERROR  ] - Cannot set headers after they are sent to the client
2022-08-09T06:34:24.980Z - [ERROR  ] - insert into `user_customer_profile` (`city`, `first_name`, `last_name`, `profile_pic_image_id`, `user_customer_id`) values ('Haryana', 'karishma', 'ahirval', 'jkhjscjhk', 2) - ER_NO_REFERENCED_ROW_2: Cannot add or update a child row: a foreign key constraint fails (`db-stag-v3`.`user_customer_profile`, CONSTRAINT `user_customer_profile_ibfk_1` FOREIGN KEY (`user_customer_id`) REFERENCES `user_customer` (`id`) ON DELETE NO ACTION ON UPDATE NO ACTION)
2022-08-09T06:34:42.158Z - [ERROR  ] - insert into `user_customer_profile` (`city`, `first_name`, `last_name`, `profile_pic_image_id`, `user_customer_id`) values ('Haryana', 'karishma', 'ahirval', 'jkhjscjhk', 1) - ER_NO_REFERENCED_ROW_2: Cannot add or update a child row: a foreign key constraint fails (`db-stag-v3`.`user_customer_profile`, CONSTRAINT `user_customer_profile_ibfk_1` FOREIGN KEY (`user_customer_id`) REFERENCES `user_customer` (`id`) ON DELETE NO ACTION ON UPDATE NO ACTION)
2022-08-09T06:34:50.470Z - [ERROR  ] - insert into `user_customer_profile` (`city`, `first_name`, `last_name`, `profile_pic_image_id`, `user_customer_id`) values ('Haryana', 'karishma', 'ahirval', 'jkhjscjhk', 1) - ER_NO_REFERENCED_ROW_2: Cannot add or update a child row: a foreign key constraint fails (`db-stag-v3`.`user_customer_profile`, CONSTRAINT `user_customer_profile_ibfk_1` FOREIGN KEY (`user_customer_id`) REFERENCES `user_customer` (`id`) ON DELETE NO ACTION ON UPDATE NO ACTION)
2022-08-12T04:46:58.075Z - [ERROR  ] - {}
2022-08-12T05:08:35.113Z - [ERROR  ] - {}
2022-08-12T05:13:03.987Z - [ERROR  ] - {}
2022-08-12T11:38:33.995Z - [ERROR  ] - {}
2022-08-12T12:11:39.354Z - [ERROR  ] - {}
2022-08-12T12:25:04.374Z - [ERROR  ] - {}
2022-08-12T12:26:15.853Z - [ERROR  ] - {}
2022-08-12T12:27:06.602Z - [ERROR  ] - {}
2022-08-12T13:00:53.655Z - [ERROR  ] - {}
